id_avis,id_client,id_livre,note,commentaire,dateavis
205,453,534,5,"Un chef-d'œuvre absolu, à lire absolument.",2015-07-30
206,476,272,5,"Une belle découverte, l'auteur a beaucoup de talent.",2022-09-12
207,410,936,5,"Plutôt moyen, rien d'exceptionnel.",2022-06-06
208,205,668,5,Passionnant du début à la fin.,2024-04-04
209,411,472,4,"Excellent livre, je le recommande vivement !",2015-08-10
210,454,362,3,"Décevant, je m'attendais à mieux.",2019-06-09
211,327,767,4,Une œuvre marquante qui laisse une empreinte durable.,2017-11-12
212,482,617,3,"Un chef-d'œuvre absolu, à lire absolument.",2016-11-09
213,240,38,4,,2019-11-15
214,182,198,5,"Décevant, je m'attendais à mieux.",2015-06-23
215,32,299,3,Impossible à lâcher ! Un vrai page-turner.,2019-11-02
216,227,257,4,,2019-02-19
217,71,52,3,,2021-06-10
218,48,586,5,Une œuvre marquante qui laisse une empreinte durable.,2015-03-30
219,412,349,4,"Un chef-d'œuvre absolu, à lire absolument.",2017-07-05
220,163,901,5,Impossible à lâcher ! Un vrai page-turner.,2015-12-25
221,321,270,5,"Décevant, je m'attendais à mieux.",2022-12-16
222,289,513,5,"Une belle découverte, l'auteur a beaucoup de talent.",2019-08-10
223,364,210,3,Très instructif et bien documenté.,2022-10-04
224,367,49,5,,2017-04-17
225,281,99,1,,2023-05-06
226,410,518,4,,2024-03-26
227,252,45,1,,2021-10-06
228,42,542,3,Une œuvre marquante qui laisse une empreinte durable.,2023-09-24
229,427,941,3,"Une belle découverte, l'auteur a beaucoup de talent.",2019-01-22
230,317,613,1,"Plutôt moyen, rien d'exceptionnel.",2015-03-19
231,361,185,4,"Très bien écrit, une lecture agréable.",2016-04-08
232,411,297,3,Impossible à lâcher ! Un vrai page-turner.,2024-03-19
233,100,46,3,Une œuvre marquante qui laisse une empreinte durable.,2020-06-05
234,246,750,5,"Très bien écrit, une lecture agréable.",2017-06-23
235,21,439,2,"Décevant, je m'attendais à mieux.",2024-12-22
236,72,112,4,Histoire intéressante mais style un peu lourd.,2018-10-21
237,412,959,3,Histoire intéressante mais style un peu lourd.,2020-01-05
238,123,990,5,,2017-10-03
239,43,625,2,"Très bien écrit, une lecture agréable.",2017-01-05
240,212,436,4,"Excellent livre, je le recommande vivement !",2016-12-19
241,114,207,4,Passionnant du début à la fin.,2018-10-23
242,262,23,4,,2020-02-02
243,167,340,3,"Décevant, je m'attendais à mieux.",2015-08-10
244,346,248,4,"J'ai adoré les personnages, très bien construits.",2015-08-24
245,74,466,5,,2015-02-01
246,456,984,4,Une œuvre marquante qui laisse une empreinte durable.,2019-11-24
247,282,500,1,Passionnant du début à la fin.,2020-03-08
248,490,78,5,"Très bien écrit, une lecture agréable.",2022-10-29
249,268,94,5,"J'ai adoré les personnages, très bien construits.",2021-09-18
250,104,830,3,"Un chef-d'œuvre absolu, à lire absolument.",2021-06-10
251,412,236,5,"Excellent livre, je le recommande vivement !",2022-01-23
252,443,380,3,Très instructif et bien documenté.,2022-11-10
253,164,992,2,Passionnant du début à la fin.,2020-04-21
254,419,58,5,"Un chef-d'œuvre absolu, à lire absolument.",2016-08-18
255,441,111,5,"Décevant, je m'attendais à mieux.",2018-01-16
256,91,406,4,Impossible à lâcher ! Un vrai page-turner.,2023-10-17
257,172,644,5,"Très bien écrit, une lecture agréable.",2021-06-07
258,13,147,5,Une œuvre marquante qui laisse une empreinte durable.,2015-09-23
259,166,728,3,Passionnant du début à la fin.,2016-02-08
260,26,622,3,Passionnant du début à la fin.,2023-02-11
261,127,230,5,"Un chef-d'œuvre absolu, à lire absolument.",2015-01-27
262,162,494,5,Histoire intéressante mais style un peu lourd.,2017-03-03
263,239,718,5,,2024-03-11
264,277,922,3,Histoire intéressante mais style un peu lourd.,2017-08-13
265,231,952,4,"Décevant, je m'attendais à mieux.",2016-01-28
266,403,474,1,Histoire intéressante mais style un peu lourd.,2019-12-11
267,32,114,5,"J'ai adoré les personnages, très bien construits.",2024-10-19
268,319,174,4,"Un chef-d'œuvre absolu, à lire absolument.",2024-09-03
269,109,943,5,"J'ai adoré les personnages, très bien construits.",2020-04-11
270,48,460,4,Passionnant du début à la fin.,2019-04-09
271,271,112,4,Passionnant du début à la fin.,2015-05-31
272,182,619,2,"Un chef-d'œuvre absolu, à lire absolument.",2022-09-24
273,397,577,3,"Très bien écrit, une lecture agréable.",2015-08-23
274,352,356,5,Très instructif et bien documenté.,2015-12-10
275,397,388,4,"Un chef-d'œuvre absolu, à lire absolument.",2023-01-17
276,334,76,4,"Une belle découverte, l'auteur a beaucoup de talent.",2018-03-23
277,330,512,1,Histoire intéressante mais style un peu lourd.,2023-02-08
278,154,45,4,Une œuvre marquante qui laisse une empreinte durable.,2018-04-27
279,476,891,4,,2023-04-20
280,172,585,3,"Plutôt moyen, rien d'exceptionnel.",2015-03-29
281,340,510,5,Passionnant du début à la fin.,2015-01-28
282,296,268,4,"Plutôt moyen, rien d'exceptionnel.",2021-01-12
283,451,664,3,,2023-02-02
284,94,461,2,"Décevant, je m'attendais à mieux.",2019-08-10
285,14,779,2,Une œuvre marquante qui laisse une empreinte durable.,2022-05-17
286,197,807,5,"Très bien écrit, une lecture agréable.",2021-04-17
287,224,525,5,,2016-04-26
288,14,621,5,"Une belle découverte, l'auteur a beaucoup de talent.",2024-05-27
289,2,602,4,Très instructif et bien documenté.,2015-01-15
290,418,570,2,"Excellent livre, je le recommande vivement !",2024-10-13
291,101,140,4,"Décevant, je m'attendais à mieux.",2020-11-30
292,13,353,5,Une œuvre marquante qui laisse une empreinte durable.,2022-09-28
293,269,473,4,"Plutôt moyen, rien d'exceptionnel.",2023-10-20
294,26,87,3,"Décevant, je m'attendais à mieux.",2022-10-28
295,198,519,2,"Très bien écrit, une lecture agréable.",2021-04-25
296,172,438,4,Très instructif et bien documenté.,2019-07-02
297,157,445,1,"Un chef-d'œuvre absolu, à lire absolument.",2022-02-16
298,163,985,4,Très instructif et bien documenté.,2022-09-10
299,58,608,5,,2018-12-21
300,444,836,5,,2017-04-18
301,189,411,3,Très instructif et bien documenté.,2023-04-14
302,340,471,5,Une œuvre marquante qui laisse une empreinte durable.,2021-11-02
303,90,361,1,"Très bien écrit, une lecture agréable.",2019-10-05
304,240,765,3,Impossible à lâcher ! Un vrai page-turner.,2019-09-01
305,328,485,3,Impossible à lâcher ! Un vrai page-turner.,2016-06-19
306,375,116,4,Impossible à lâcher ! Un vrai page-turner.,2020-01-15
307,484,289,4,Passionnant du début à la fin.,2024-09-06
308,315,951,4,Passionnant du début à la fin.,2022-05-05
309,282,315,3,"Une belle découverte, l'auteur a beaucoup de talent.",2021-10-11
310,297,605,4,,2018-12-07
311,75,792,1,,2017-03-30
312,32,714,4,Une œuvre marquante qui laisse une empreinte durable.,2021-06-25
313,64,153,4,Très instructif et bien documenté.,2015-12-31
314,292,431,5,"Un chef-d'œuvre absolu, à lire absolument.",2019-02-22
315,123,695,1,"Un chef-d'œuvre absolu, à lire absolument.",2023-07-30
316,285,490,4,,2022-03-12
317,202,544,2,"J'ai adoré les personnages, très bien construits.",2023-10-12
318,245,383,3,Passionnant du début à la fin.,2016-12-29
319,217,707,3,,2022-07-29
320,142,795,4,"Plutôt moyen, rien d'exceptionnel.",2020-08-27
321,64,117,3,,2021-08-17
322,438,681,4,Passionnant du début à la fin.,2016-05-15
323,232,237,4,,2016-06-06
324,71,593,3,"Plutôt moyen, rien d'exceptionnel.",2020-09-22
325,221,344,5,,2017-09-27
326,291,667,3,"Plutôt moyen, rien d'exceptionnel.",2019-03-10
327,429,777,4,,2018-08-26
328,495,494,4,"Plutôt moyen, rien d'exceptionnel.",2023-10-04
329,433,577,2,"Très bien écrit, une lecture agréable.",2016-05-29
330,343,309,3,"Un chef-d'œuvre absolu, à lire absolument.",2018-12-03
331,127,515,5,,2022-09-26
332,170,507,4,"Décevant, je m'attendais à mieux.",2020-02-25
333,81,52,4,"J'ai adoré les personnages, très bien construits.",2023-10-30
334,97,390,4,"Plutôt moyen, rien d'exceptionnel.",2022-03-21
335,181,428,3,"Un chef-d'œuvre absolu, à lire absolument.",2017-03-28
336,296,103,4,"Plutôt moyen, rien d'exceptionnel.",2015-01-20
337,413,534,4,"Une belle découverte, l'auteur a beaucoup de talent.",2021-06-03
338,389,279,3,Une œuvre marquante qui laisse une empreinte durable.,2018-01-21
339,137,822,2,"Très bien écrit, une lecture agréable.",2015-03-06
340,154,150,5,Très instructif et bien documenté.,2020-04-25
341,134,638,3,Très instructif et bien documenté.,2016-09-07
342,59,943,5,,2020-11-18
343,410,73,4,Très instructif et bien documenté.,2019-08-30
344,313,916,5,"Un chef-d'œuvre absolu, à lire absolument.",2016-09-29
345,391,868,5,Passionnant du début à la fin.,2020-01-11
346,498,977,3,Impossible à lâcher ! Un vrai page-turner.,2024-12-15
347,325,80,2,"Plutôt moyen, rien d'exceptionnel.",2015-06-03
348,438,194,3,"Excellent livre, je le recommande vivement !",2022-03-18
349,48,892,5,Une œuvre marquante qui laisse une empreinte durable.,2016-10-22
350,197,192,3,Passionnant du début à la fin.,2018-03-08
351,214,167,1,,2016-05-20
352,426,237,3,"Une belle découverte, l'auteur a beaucoup de talent.",2021-12-26
353,364,713,3,Très instructif et bien documenté.,2018-03-11
354,3,502,5,,2019-12-27
355,127,683,3,"Une belle découverte, l'auteur a beaucoup de talent.",2015-09-12
356,471,975,5,Histoire intéressante mais style un peu lourd.,2020-04-18
357,351,51,5,,2015-07-27
358,408,811,3,"Très bien écrit, une lecture agréable.",2015-07-30
359,227,592,5,"Une belle découverte, l'auteur a beaucoup de talent.",2017-02-16
360,173,137,2,"J'ai adoré les personnages, très bien construits.",2015-12-16
361,379,182,1,,2018-04-07
362,325,110,4,"Une belle découverte, l'auteur a beaucoup de talent.",2020-10-08
363,22,928,4,Une œuvre marquante qui laisse une empreinte durable.,2024-04-22
364,44,542,5,Histoire intéressante mais style un peu lourd.,2016-05-14
365,99,224,4,Passionnant du début à la fin.,2023-03-13
366,412,13,2,Très instructif et bien documenté.,2023-12-22
367,472,69,3,Passionnant du début à la fin.,2021-03-10
368,60,450,4,,2019-03-09
369,373,485,4,"J'ai adoré les personnages, très bien construits.",2018-09-10
370,91,756,5,"Décevant, je m'attendais à mieux.",2015-12-17
371,417,599,5,"Très bien écrit, une lecture agréable.",2022-04-18
372,145,164,4,Histoire intéressante mais style un peu lourd.,2020-08-25
373,58,298,2,,2015-12-11
374,111,836,4,"J'ai adoré les personnages, très bien construits.",2019-06-14
375,462,592,4,Histoire intéressante mais style un peu lourd.,2024-08-01
376,87,423,3,,2016-05-09
377,425,167,5,,2020-01-19
378,155,912,1,,2020-09-03
379,332,310,5,Impossible à lâcher ! Un vrai page-turner.,2020-10-04
380,492,534,4,Histoire intéressante mais style un peu lourd.,2021-02-05
381,38,708,4,Très instructif et bien documenté.,2016-05-25
382,127,678,4,Passionnant du début à la fin.,2021-10-20
383,488,105,5,Histoire intéressante mais style un peu lourd.,2022-10-13
384,328,591,2,Passionnant du début à la fin.,2017-02-22
385,408,154,5,"Excellent livre, je le recommande vivement !",2016-01-25
386,51,196,2,"Décevant, je m'attendais à mieux.",2017-06-10
387,53,368,4,"Décevant, je m'attendais à mieux.",2024-12-13
388,494,242,3,"J'ai adoré les personnages, très bien construits.",2015-02-20
389,373,129,2,"J'ai adoré les personnages, très bien construits.",2017-10-28
390,203,179,5,"Très bien écrit, une lecture agréable.",2022-01-23
391,125,800,3,Passionnant du début à la fin.,2017-10-08
392,480,856,5,"Décevant, je m'attendais à mieux.",2017-09-17
393,275,435,4,,2020-01-10
394,243,395,1,Très instructif et bien documenté.,2023-03-17
395,102,668,5,Une œuvre marquante qui laisse une empreinte durable.,2021-08-13
396,385,549,4,"Une belle découverte, l'auteur a beaucoup de talent.",2022-12-11
397,203,932,4,,2021-01-17
398,359,898,5,"Décevant, je m'attendais à mieux.",2015-11-04
399,21,460,4,,2018-04-11
400,432,705,2,"Un chef-d'œuvre absolu, à lire absolument.",2022-11-02
401,19,904,5,"Excellent livre, je le recommande vivement !",2022-09-18
402,345,834,5,"Plutôt moyen, rien d'exceptionnel.",2016-08-15
403,146,818,4,Passionnant du début à la fin.,2018-02-06
404,94,443,3,"Une belle découverte, l'auteur a beaucoup de talent.",2023-05-10
405,416,683,5,"Un chef-d'œuvre absolu, à lire absolument.",2021-08-28
406,92,498,5,"J'ai adoré les personnages, très bien construits.",2023-06-14
407,364,731,3,"J'ai adoré les personnages, très bien construits.",2017-01-28
408,113,569,4,"Décevant, je m'attendais à mieux.",2023-12-01
409,476,524,4,Une œuvre marquante qui laisse une empreinte durable.,2017-02-24
410,497,687,4,"Plutôt moyen, rien d'exceptionnel.",2021-02-27
411,334,437,4,"J'ai adoré les personnages, très bien construits.",2015-06-12
412,141,185,4,"Plutôt moyen, rien d'exceptionnel.",2023-09-03
413,334,237,2,Passionnant du début à la fin.,2021-06-28
414,121,73,5,Une œuvre marquante qui laisse une empreinte durable.,2021-06-27
415,304,192,4,Passionnant du début à la fin.,2017-10-18
416,160,725,4,,2015-01-29
417,418,481,5,"Excellent livre, je le recommande vivement !",2020-07-23
418,246,384,1,Histoire intéressante mais style un peu lourd.,2021-05-08
419,145,675,4,"Une belle découverte, l'auteur a beaucoup de talent.",2017-03-21
420,401,355,4,"J'ai adoré les personnages, très bien construits.",2019-08-26
421,65,788,2,"Excellent livre, je le recommande vivement !",2024-02-08
422,167,934,4,,2023-10-05
423,422,264,4,Histoire intéressante mais style un peu lourd.,2023-05-23
424,88,167,5,Passionnant du début à la fin.,2016-02-17
425,101,837,5,,2015-05-22
426,381,336,4,"Très bien écrit, une lecture agréable.",2021-07-11
427,212,214,4,"J'ai adoré les personnages, très bien construits.",2022-11-23
428,474,939,2,"Plutôt moyen, rien d'exceptionnel.",2018-06-18
429,176,110,4,"Une belle découverte, l'auteur a beaucoup de talent.",2017-07-28
430,206,775,4,Passionnant du début à la fin.,2023-03-26
431,16,258,2,"Décevant, je m'attendais à mieux.",2016-07-30
432,122,268,2,"Plutôt moyen, rien d'exceptionnel.",2024-06-16
433,258,806,5,"Excellent livre, je le recommande vivement !",2022-12-15
434,102,905,5,"Un chef-d'œuvre absolu, à lire absolument.",2022-02-07
435,423,559,2,"Plutôt moyen, rien d'exceptionnel.",2015-09-16
436,455,812,5,Une œuvre marquante qui laisse une empreinte durable.,2023-02-19
437,292,769,3,Histoire intéressante mais style un peu lourd.,2022-07-26
438,227,760,4,"Décevant, je m'attendais à mieux.",2024-03-17
439,62,73,5,Passionnant du début à la fin.,2021-07-09
440,217,251,5,"Un chef-d'œuvre absolu, à lire absolument.",2015-10-16
441,45,314,4,"Un chef-d'œuvre absolu, à lire absolument.",2016-03-06
442,460,17,5,"Décevant, je m'attendais à mieux.",2017-09-13
443,28,837,4,Très instructif et bien documenté.,2024-12-18
444,133,690,5,,2024-02-17
445,476,546,2,"Un chef-d'œuvre absolu, à lire absolument.",2022-11-27
